"ParticipantPrivateID","randomiser_475f","ResponseButtonOrder","Sources","Trials_perBlock_","Blocks","MinimumSamples","MaximumSamples","RT","Stimulus","Response","NoOfStimuli","CorrectResponse","TrialType","TrialIndex","Accuracy","Block","TrialNumber","proba_1","proba_2","proba_3","proba_4","proba_5","proba_6","Sample_Color","Sample_NumColor","Prior_Belief","Awareness","TruePrior","InstructedPrior","Deception","FinalBelief","color_1","color_2","color_3","color_4","color_5","color_6"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,14385.799999997,"blue",0,6,0,"js-scroll-button-response",187,1,2,62,55,65,65,55,65,50,"blueblueredredblueblue","1  1  0  0  1  1",1,3,1,1,0,3,"blue","blue","red","red","blue","blue"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,9379.60000000894,"red",1,6,1,"js-scroll-button-response",190,1,2,63,65,65,50,50,65,55,"blueblueredredredred","1  1  0  0  0  0",1,3,1,1,0,3,"blue","blue","red","red","red","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,9058.40000000596,"blue",0,6,0,"js-scroll-button-response",193,1,2,64,50,50,55,50,65,65,"blueredblueblueblueblue","1  0  1  1  1  1",1,3,1,1,0,3,"blue","red","blue","blue","blue","blue"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,9840,"red",1,6,1,"js-scroll-button-response",196,1,2,65,65,55,55,55,50,65,"redblueredbluebluered","0  1  0  1  1  0",1,3,1,1,0,3,"red","blue","red","blue","blue","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,18376.799999997,"red",1,6,1,"js-scroll-button-response",199,1,2,66,55,50,65,65,50,50,"redblueredredblueblue","0  1  0  0  1  1",1,3,1,1,0,3,"red","blue","red","red","blue","blue"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,8735.89999999106,"blue",1,6,0,"js-scroll-button-response",202,0,2,67,55,65,55,55,55,50,"redredbluebluebluered","0  0  1  1  1  0",1,3,1,1,0,3,"red","red","blue","blue","blue","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,10329.099999994,"blue",0,6,0,"js-scroll-button-response",205,1,2,68,55,65,65,50,50,55,"blueblueblueblueblueblue","1  1  1  1  1  1",1,3,1,1,0,3,"blue","blue","blue","blue","blue","blue"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,26652,"blue",1,6,0,"js-scroll-button-response",208,0,2,69,65,50,50,50,65,50,"redblueredredbluered","0  1  0  0  1  0",1,3,1,1,0,3,"red","blue","red","red","blue","red"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,7967.80000001192,"red",1,6,1,"js-scroll-button-response",211,1,2,70,65,55,55,65,55,50,"redredredredredblue","0  0  0  0  0  1",1,3,1,1,0,3,"red","red","red","red","red","blue"
15938039,"Button0Blue",0,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,6,6,6,8648.69999998808,"blue",0,6,0,"js-scroll-button-response",214,1,2,71,50,50,50,55,50,50,"redredbluebluebluered","0  0  1  1  1  0",1,3,1,1,0,3,"red","red","blue","blue","blue","red"
